story_qn,answer_text
What is sirius?,"So you are new here? Great! 😊
Sirius is a tool for program and project management which enables multiple parallel or subsequent deliveries in one program."
What is Sirius?,
How does Sirius work?,
sirius,
How can I get tool access?,"Happy to hear, you want access 😊.
**Read access**
All SAP ""D""/""I"" users.

⚠️ ""C""/External users need to 
        request a special profile [here](https://uap.wdf.sap.corp/sap/bc/webdynpro/sap/yupa_extend_auth?pa_mandt=001&pa_system=IFP&pa_profile=0000_IFP_CP_CONTRACTOR#).

**Write access**
All users having already a role in the program.
⚠️ Staffing inside the program."
How can I get to the tool?,
I want to create a program as a C-user and do not have permission.,
I want to create a program and do not have permission.,
How can I get read access?,
How can I get write access?,
Project authorizations for a sap colleague,
How do I get program access,
How can I request authorization?,
authorizations,
How can I create a test program?,"You can create your test programs in the Test System. Isn't that great? 😊
Please follow me to the [Test System](https://ifq.wdf.sap.corp/sirius/)."
How can I test?,
Is there a test system?,
How can I access the test system?,
Any news?,📰 You can find all news on the [Wiki Page of Sirius](https://wiki.wdf.sap.corp/wiki/display/DevFw/News). 
How does the backlog for sirius look like?,
Is there anything new?,
How is the backlog?,
Where can I find the product backlog?,Please follow me to the [current Sirius Backlog](https://sapjira.wdf.sap.corp/secure/RapidBoard.jspa?rapidView=25013&view=planning&issueLimit=100) 🗃.
Wher can I find information on the GUI?,Please follow me to the [GUI/Frontend Source](https://github.wdf.sap.corp/Tools/ng-sirius) 🗃.
Wher can I find information on the frontend source?,
Is there additional documentation?,"the following documentation is available:
**Sirius** 
[Documentation](https://wiki.wdf.sap.corp/wiki/display/DevFw/Documentation%3A+Sirius)
**Cumulus**
[Documentation](https://wiki.wdf.sap.corp/wiki/pages/viewpage.action?pageId=2159356828)
**cProjects**
[Documentation](https://wiki.wdf.sap.corp/wiki/display/EPPM/1.+cProjects)
**PPMS**
[Documentation](https://wiki.wdf.sap.corp/wiki/display/ppmscont/Home)
**SAP Jira**
[Documentation](https://wiki.wdf.sap.corp/wiki/display/SAPJira/Documentation%3A+SAP+Jira)
**Secure Development**
[Documentation](https://wiki.wdf.sap.corp/wiki/display/DevFw/Documentation%3A+Sirius+Secure+Development)"
Where can I find the documentation?,
Where is the wiki page?,
Documentation?,
What are the goals?,"🏁 Introduce an easy-to-use and role-based UI for program and project management:
- Support new business models efficiently
- Create deliveries inside one program as one sequence or many
- Work on the ""Innovation Cycle"" tasks which are generated based on the delivery attributes
- Track the Product Standard Requirements
- Add milestones to plan your deliveries
- Assign related PPMS entries
- Integrated ""Security Hub"" supports the ""Secure Development Lifecycle"" process
- Link further tools"
What are the features?,
Can I use the IE?,"In order to work as efficient as possible with Sirius I recommend using **Google Chrome** as browser, you will love it!"
Can I use the internet explorer?,
Google Chrome,
Which browser is reccommended?,
Security validation,"Find information on Security Validation in our friendly [**guide**]
(https://wiki.wdf.sap.corp/wiki/x/apmdYw)."
where is the Security Validation task?,
How can I report a bug?,"Oh, let's fix this!

1. In the header choose the 🐞 button.
     → A new tab with SAP ITdirect opens.
2. Add a description and attachements.
3. Add general data and business partner.
4. Check and finalize the ticket.
5. Choose the ""Click and Send"" button.

Well done, the bug is reported ✔️
That's it! 😊"
How can I report a problem?,
repot issue,
report bug,
What roles are available?,"You can find all roles of your program in the overview of the delivery screen.
For a detailed overview of all roles available, please follow our friendly [**guide**](https://wiki.wdf.sap.corp/wiki/x/ewQZeg)."
Where is Roles section?,
roles in sirius,
where is the roles section,
How can I staff roles?,"1. Navigate to Program Screen
2. Navigate to Roles section.
3. Enter user in the ""Assign User or DL"" field.
4. Select a role.
5. Choose the ""Add"" button.

Well done, the user is assigned to the program ✔️
Wasn’t that easy? 😊"
new role,
How can I add a new team member,
I need help to add a team member in the Program,
assign roles,
staff roles,
How can I use the outlook internet calendar?,"Using the Outlook Calendar is a great thing! 😊

**Precondition:**  You must have a Windows or Linux computer.
1. Navigate to the Program screen.
2. Navigate to the Overview screen.
3. In the Pogram Release Plan section 
     choose the ""Menu"" button.
     → The different options are displayed.
4. Choose the Outlook Calender URL field.
     → A new window with an URL is 
          displayed.
5. Copy the URL.
6. Choose the 🆗 button.
7. Open Outlook on your computer.
8. Navigate to the Home section.
9. Choose ""Open Calendar"".
10. Choose the ""From Internet..."" field.
11. Paste the URL from Sirius.
12. Choose the 🆗 button. 

Well done, your Outlook internet Calendar is now connected to Sirius ✔️"
outlook calendar,
How can I use the outlook calendar?,
How do I include the milestones of a program into my Outlook calendar?,
i want to get the release plan to calendar,
how can i export the release plan to calendar,
How can I access reporting?,"Reporting is a great thing! 😊
The reports are available in the [**Enterprise Analytical Store**](https://eas.sap.com/astore/ui/index.html#assets/198813).
You can get authorization in each reporting page in the ""authorization"" section. 
- [Sirius Program & Delivery](https://wiki.wdf.sap.corp/wiki/x/_wgZeg)
- [Sirius Product Standard Requirements](https://wiki.wdf.sap.corp/wiki/x/-QgZeg)
- [Sirius Roles](https://wiki.wdf.sap.corp/wiki/x/BAkZeg)
- [Sirius Tasks](	https://wiki.wdf.sap.corp/wiki/x/FQkZeg)
- [Traceability Dashboard](https://wiki.wdf.sap.corp/wiki/x/HwkZeg)"
Traceability Dashboard,
How can I report program and delivery related data?,
How can I automateTraceability for Sirius Deliveries Reporting Solution based on SAP JIRA?,
How can I report roles?,
How can I report tasks?,
How can I report product standard requirements?,
How can I automateTraceability for Deliveries?,
How to Copy Task link to clipboard?,"That's easy 😊

1. Navigate to the Delivery screen.
2. Navigate to the Task screen.
3. Choose the Task section.
4. Choose the task you want to copy its link.
5. Choose the ""copy"" button.

The verification message is shown. ✔️
The link of the task is copied on the clipboard. ✔️

💡 Paste the copied link into the address bar of a web browser, a program or a document.

❕ By using the link, the user is redirected to the Delivery screen where only the specific task is shown, while the others are filtered out."
Copy Task link to clipboard,
How can I delete a phase or a milestone?,"That's easy 😊
Choose the 🗑 button (bin) next to the phase or milestone."
How can I delete a phase?,
How can I delete a milestone?,
What is a program?,"Let me give you a short definition 📝 
A program is a concept used to structure a group of Items into a logical sequence, for example a time period and contains a set of deliveries and contains a set of deliveries. It is usually active until the end of the lifecycle of all deliveries of the program and refers to (requires) at least one software product (P) or software component (SC) in the Product & Production Management System (PPMS)."
define program,
program,
How can I create a program?,"**Precondition:**  You must be a D-user or an I-user.
1. Navigate to the content section.
2. Choose the ""Create Program"" button.
3. Enter a Program Name.
4. Select a Program Lead.
5. Select a Development Unit.
6. Choose the ""Create"" button.

Congratulations, you created a program ✔️
Wasn’t that easy? 😊"
create program,
How can I make a program?,
How can I delete a program?,"You cannot delete a program on your own.
If a program was created but is not needed, my colleagues of the Sirius Team would love to help you.
Just create a ticket [here](https://itdirect.wdf.sap.corp/sap(bD1lbiZjPTAwMSZkPW1pbg==)/bc/bsp/sap/crm_ui_start/default.htm?sap-%252520sessioncmd%252520=open&saprole=ZITSERVREQU&crm-object-type=AIC_OB_INCIDENT&crm-object-action=D&PROCESS_TYPE=ZINE&CAT_ID=IMFIT_TOOLS_PRG) and they will take care. 😊"
delete program,
I accidently created a program,
How can I edit program details?,"**Precondition**:  You must have the right to edit program details
1. Navigate to the Program screen.
2. Navigate to the Program Details screen.
3. Edit the program details you want to change.

Congratulations, you have edited the program details ✔️ 
If you want to learn more about program details, [follow me](https://wiki.wdf.sap.corp/wiki/x/hFxEeg)."
edit program details?,
How can I overwrite program details?,
How can I adapt program details?,
How can I change program details?,
program details,"If you want to learn more about program details, [follow me](https://wiki.wdf.sap.corp/wiki/x/hFxEeg)."
What program details are available?,
What is a delivery?,"Let me give you a short definition 📝 

A delivery is an entity used for organizing and administrating the creation and delivery of one or more software products at a planned RTC date."
define delivery,
delivery,
How can I create a delivery?,"⚠️ The first delivery in a program must have the delivery type ""Release"".

1. Navigate to the deliveries screen.
2. Choose the ""Create Delivery"" button.
3. Enter a delivery name incl. version.
4. Select a predefined attribute set.
5. Select the required services.
6. Adapt the attributes as needed.
7. Choose the ""Create and Activate"" button.

Well done, a new delivery is created ✔️
Wasn't that easy! 😊"
How to make a delivery,
create delivery,
How can I plan a delivery?,"**Create a Follow-up Delivery as a draft.**
⚠️ If you want to create a follow-up delivery 
       with one of the delivery modes:
       - Feature
       - Correction and Legal Changes 
       there must be one delivery of type 
       ""Release"" in the delivery sequence.

1. Navigate to the Deliveries screen.
2. Choose the ""Create Delivery"" button.
3. In the Previous Delivery field choose a 
     previous delivery.
4. Enter a delivery name incl. version.
5. Select a predefined attribute set.
6. Select the required services.
7. Adapt the attributes as needed.
8. Choose the ""Create"" button.

**Plan RTC milestones and further settings.**

Congratulations:
The delivery is planned ✔️ 
Activate the follow-up delivery ✔️ 

Simple, isn't it! 😊"
How to organize a delivery,
plan delivery,
How can I delete a delivery?,"You cannot delete a delivery on your own.
If a delivery was created but is not needed, my colleagues of the Sirius Team would love to help you.
Just create a ticket [here](https://itdirect.wdf.sap.corp/sap(bD1lbiZjPTAwMSZkPW1pbg==)/bc/bsp/sap/crm_ui_start/default.htm?sap-%252520sessioncmd%252520=open&saprole=ZITSERVREQU&crm-object-type=AIC_OB_INCIDENT&crm-object-action=D&PROCESS_TYPE=ZINE&CAT_ID=IMFIT_TOOLS_PRG) and they will take care. 😊"
delete delivery,
I accidently created a delivery,
How can I edit delivery details?,"**Precondition:**  You must have the right to edit program details.
1. Navigate to the Delivery screen.
2. Navigate to the Delivery Details screen.
3. Edit the delivery details you want to change.

Good job, the delivery details are edited ✔️ 
Wasn't that easy. 😊"
How can I change delivery details?,
How can I change previous delivery,
edit delivery attributes,
edit delivery details,
how to change delivery,
can I chnage a delivery type from GA to pilot?,
Change previous delivery,
How can I edit delivery attributes?,
How can I edit delivery details?,
Which delivery attributes should I choose?,"Dependent on the attributes set, the tasks are created. The attributes are the prerequisire to create tasks.
Please follow our friendly [**guide**](https://wiki.wdf.sap.corp/wiki/display/DevFw/5.2.10+Delivery+Examples] for some examples.
There is also a tool available to check your attribute selection [here](https://sapedia.int.sap/w/sirius/attribute-check.html)."
How can I check my attribute selection?,
Which delivery attributes should I take?,
Which delivery details are available?,
Which delivery attributes are available?,
Which delivery attributes should I select?,
Which attributes should I use?,
Which delivery attributes to choose?,
What does the processing status new mean?,"To get information on the delivery details, please follow our friendly [**guide**](	https://wiki.wdf.sap.corp/wiki/x/eGtEeg)"
What does the delivery status on track mean?,
What does the delivery status very critical mean?,
What does the processing status finished mean?,
What does the processing status inactive mean?,
What does the delivery status not applicable mean?,
What does the processing status active mean?,
What does the delivery status critical mean?,
What does the attribute release type mean?,"To get information on the delivery attributes, please follow our friendly [**guide**](	https://wiki.wdf.sap.corp/wiki/x/vw3eeQ)"
What does the attribute other mean?,
What does the attribute vendor classification mean?,
What does the attribute commercialization aspects mean?,
What does the attribute delivery type mean?,
What does the attribute service selection mean?,
What does the attribute delivery mode mean?,
What does the attribute Part of IE E2E Process mean?,
What is DDC information?,"The Development Delivery Call (DDC) is a monthly board-priority meeting. All L1 development business leaders (T&I, IEG, CBG, OCEO and DBS) provide transparency on development readiness per portfolio category and development area.
Sirius tool is the SAP central data repository for development programs and deliveries.
""DDC Information"" tile is owned and maintained only by the nominated DDC preparation lead per L1 business area. DDC reporting enriches the regular program and delivery status with strategic aspects.
That's it! 😊"
DDC,
How can I request authorization for a new preperation lead?,"As DDC Prep lead you need “Sirius Service User” authentication to change data in all Sirius programs.
1. Navigate to the [UAP system](https://uap.wdf.sap.corp/sap/bc/webdynpro/sap/yupa_extend_auth?pa_mandt=001&pa_system=IFP&pa_profile=0000_IFP_CP_SIRIUS_SERVICEUSER#).
2. Navigate to the Please provide a 
    request reason field.
3. Insert  “DDC Preparation Lead”.
4. Choose the ""Create request"" 
     button.

Congratulation, a Sirius authorization request for new preparation leads is created ✔️ 

Isn't that simple! 😊"
request new preperation lead,
Sirius authorization request for new preparation leads,
What are the DDC information fields?,"DDC information fields can be maintained independently from set 'Development Delivery Call Relevance' status.
Detailed information on each DDC information field can be found in our friendly [**guide**](https://wiki.wdf.sap.corp/wiki/x/GvWyeg)."
What does portfolio categories mean?,
What does go-to-market readiness mean?,
What does development delivery call relevant mean?,
What does runs on HANA mean?,
What does scope mean?,
What does first release mean?,
What does logical product names mean?,
What does impact mean?,
What are the portfolio categories and roles?,"The overview of Portfolio Categories & Roles are available in [DDC Jam Page](https://jam4.sapjam.com/groups/request_access/I2HmLGF2bPqGHswefTIJdG) under Help  in section 'Contacts'.
Happy exploring! 😊"
Portfolio Categories & Roles,
Who are the DDC preparation leads?,"Please take a look [here](https://wiki.wdf.sap.corp/wiki/x/HHxqg).
Happy exploring! 😊"
By whom is the DDC maintained?,
list of all preparation leads,
By whom is the DDC owned?,
What is a milestone?,"Let me give you a short definition 📝 
Scheduled event that indicates the completion of a major deliverable event of a project. Milestones are measurable and observable and serve as progress markers but, by definition, are independent of time therefore no work or consumption of resources is associated with them."
milestones,
What are milestones?,
How can I add a phase?,"**Precondition:** You must have the right to add a phase.
1. Navigate to the Delivery screen.
2. Navigate to the Delivery Release Plan screen.
3. Choose the ➕  button.
     → The Add Phase window is displayed.
4. Enter a phase name.
5. Place the new phase.
6. Choose the ""Add"" button.

Congratulations, you added a new phase✔️
Wasn’t that easy? 😊"
How can I make a phase?,
How can I create a phase?,
How can I cluster milestones?,
add phase,
